sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,43.0,Litres (m),daily,,,,3.90%,,02/02/2026
beef,weekly_cows_deadweight_gb,Great Britain,495.0,p/kg,weekly,0.04%,,,,,10/01/2026
beef,weekly_prime_cattle_deadweight_gb,Great Britain,645.0,p/kg,weekly,-0.24%,,,,,10/01/2026
beef,weekly_cows_deadweight_gb,Great Britain,512.0,p/kg,weekly,0.35%,,,,,14/02/2026
beef,weekly_prime_cattle_deadweight_gb,Great Britain,636.0,p/kg,weekly,0.20%,,,,,14/02/2026
sheep,weekly_lamb_hogget_ni,Northern Ireland,609.0,p/kg,weekly,1.60%,,,,,14/02/2026
arable,premium_malting_barley,United Kingdom,167.0,£/t,weekly,,4.10%,,-2.60%,,14/12/2025
beef,weekly_cows_deadweight_gb,Great Britain,525.0,p/kg,weekly,-0.10%,,,,,15/11/2025
beef,weekly_prime_cattle_deadweight_gb,Great Britain,659.0,p/kg,weekly,0.27%,,,,,15/11/2025
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,43.0,Litres (m),daily,,,,7.40%,,15/11/2025
arable,premium_malting_barley,United Kingdom,164.0,£/t,weekly,,,,,,17/05/2026
arable,premium_malting_barley,United Kingdom,167.0,£/t,weekly,,4.1%,,-2.6%,,2025-12-14
beef,weekly_cows_deadweight_gb,Great Britain,519.0,p/kg,weekly,0.46%,,,,,2026-03-14
beef,weekly_prime_cattle_deadweight_gb,Great Britain,634.0,p/kg,weekly,-0.16%,,,,,2026-03-14
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,45.0,Litres (m),daily,,,,2.6%,,2026-03-21
sheep,weekly_lamb_hogget_ni,Northern Ireland,748.0,p/kg,weekly,4.0%,,,,,2026-03-21
pigs,weekly_spp_deadweight_gb,Great Britain,182.0,p/kg,weekly,-0.22%,,,,,2026-03-28
sheep,weekly_sqq_clean_lambs_gb,Great Britain,867.0,p/kg,weekly,3.6%,,,,,2026-03-28
arable,bread_milling_wheat,United Kingdom,175.0,£/t,weekly,-2.4%,-2.3%,,-8.8%,,2026-03-29
arable,feed_barley,United Kingdom,157.0,£/t,weekly,0.67%,2.4%,,-1.0%,,2026-03-29
arable,feed_wheat,United Kingdom,175.0,£/t,weekly,2.2%,4.2%,,-1.0%,,2026-03-29
pigs,weekly_spp_deadweight_gb,Great Britain,187.0,p/kg,weekly,-0.79%,,,,,21/02/2026
sheep,weekly_sqq_clean_lambs_gb,Great Britain,724.0,p/kg,weekly,1.50%,,,,,21/02/2026
arable,bread_milling_wheat,United Kingdom,181.0,£/t,weekly,3.00%,2.10%,,-16%,,22/02/2026
arable,feed_barley,United Kingdom,154.0,£/t,weekly,-0.42%,-1.50%,,-6.20%,,22/02/2026
arable,feed_wheat,United Kingdom,167.0,£/t,weekly,0.09%,-0.20%,,-10%,,22/02/2026
pigs,weekly_spp_deadweight_gb,Great Britain,201.0,p/kg,weekly,0.19%,,,,,22/11/2025
sheep,weekly_lamb_hogget_ni,Northern Ireland,620.0,p/kg,weekly,-0.11%,,,,,22/11/2025
sheep,weekly_sqq_clean_lambs_gb,Great Britain,695.0,p/kg,weekly,0.43%,,,,,22/11/2025
beef,weekly_cows_deadweight_gb,Great Britain,482.0,p/kg,weekly,-1.40%,,,,,23/05/2026
beef,weekly_prime_cattle_deadweight_gb,Great Britain,595.0,p/kg,weekly,-1.30%,,,,,23/05/2026
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,47.0,Litres (m),daily,,,,-0.62%,,23/05/2026
