sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
arable,bread_milling_wheat,United Kingdom,181,£/t,weekly,3.00%,2.10%,NA,-16%,NA,22/02/2026
arable,feed_barley,United Kingdom,154,£/t,weekly,-0.42%,-1.50%,NA,-6.20%,NA,22/02/2026
arable,feed_wheat,United Kingdom,167,£/t,weekly,0.09%,-0.20%,NA,-10%,NA,22/02/2026
arable,ni_potato_processing,Northern Ireland,178,£/t,monthly,NA,-24%,NA,-32%,NA,Dec-25
arable,ni_potato_washing,Northern Ireland,292,£/t,monthly,NA,2.10%,NA,-1.90%,NA,Dec-25
arable,oilseed_rape,England,419,£/t,monthly,NA,3.50%,NA,-1.00%,NA,Feb-26
arable,premium_malting_barley,United Kingdom,167,£/t,weekly,NA,4.10%,NA,-2.60%,NA,14/12/2025
beef,monthly_cows_deadweight_gb,Great Britain,503,p/kg,monthly,NA,1.80%,NA,22%,55%,Jan-26
beef,monthly_prime_cattle_deadweight_gb,Great Britain,642,p/kg,monthly,NA,-1.30%,NA,11%,39%,Jan-26
beef,weekly_average_beef_veal_production,United Kingdom,17,Tonnes (th),monthly (weekly average),NA,4.60%,NA,-0.85%,-0.28%,Jan-26
beef,weekly_average_prime_cattle_slaughter,United Kingdom,37,Head (th),monthly (weekly average),NA,3.40%,NA,-3.70%,-2.10%,Jan-26
beef,weekly_cows_deadweight_gb,Great Britain,512,p/kg,weekly,0.35%,NA,NA,NA,NA,14/02/2026
beef,weekly_prime_cattle_deadweight_gb,Great Britain,636,p/kg,weekly,0.20%,NA,NA,NA,NA,14/02/2026
dairy,ampe,United Kingdom,33,p/l,monthly,NA,9.00%,NA,-26%,NA,Feb-26
dairy,bulk_cream,United Kingdom,1185,£/t,monthly,NA,-9.70%,NA,-55%,-39%,Jan-26
dairy,mcve,United Kingdom,33,p/l,monthly,NA,2.90%,NA,-27%,NA,Feb-26
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,43,Litres (m),daily,NA,NA,NA,3.90%,NA,02/02/2026
dairy,uk_fg_milk_price,United Kingdom,38,p/l,monthly,NA,-5.20%,NA,-18%,-5.20%,Jan-26
dairy,weekly_average_uk_volume,United Kingdom,300,Litres (m),monthly,NA,-0.93%,NA,4.10%,6.30%,Jan-26
eggs,barn_prod,United Kingdom,22,m doz,quarterly,NA,NA,-0.56%,28%,NA,Q4 2025
eggs,enriched_price,United Kingdom,99,p/dozen,quarterly,NA,NA,-4.20%,0.79%,NA,Q4 2025
eggs,enriched_prod,United Kingdom,44,m doz,quarterly,NA,NA,-6.50%,-16%,NA,Q4 2025
eggs,free_range_price,United Kingdom,159,p/dozen,quarterly,NA,NA,0.11%,-0.67%,NA,Q4 2025
eggs,free_range_prod,United Kingdom,197,m doz,quarterly,NA,NA,4.20%,12%,NA,Q4 2025
eggs,organic_prod,United Kingdom,9.7,m doz,quarterly,NA,NA,-4.50%,5.10%,NA,Q4 2025
eggs,total_price,United Kingdom,149,p/dozen,quarterly,NA,NA,0.26%,1.20%,NA,Q4 2025
eggs,total_prod,United Kingdom,273,m doz,quarterly,NA,NA,1.60%,7.00%,NA,Q4 2025
eggs,weekly_average_commercial_layers_chicks_placed,United Kingdom,0.77,Chicks (m),monthly,NA,4.40%,NA,-5.40%,6.20%,Jan-26
