"sector","item","geography","value","units","data_frequency","wchange","mchange","qchange","yrchange","fiveyrchange","data_date"
"arable","bread_milling_wheat","United Kingdom","175","£/t","weekly","-2.4%","-2.3%",NA,"-8.8%",NA,"2026-03-29"
"arable","feed_barley","United Kingdom","157","£/t","weekly","0.67%","2.4%",NA,"-1.0%",NA,"2026-03-29"
"arable","feed_wheat","United Kingdom","175","£/t","weekly","2.2%","4.2%",NA,"-1.0%",NA,"2026-03-29"
"arable","ni_potato_processing","Northern Ireland","178","£/t","monthly",NA,"-24%",NA,"-32%",NA,"December 2025"
"arable","ni_potato_washing","Northern Ireland","292","£/t","monthly",NA,"2.1%",NA,"-1.9%",NA,"December 2025"
"arable","oilseed_rape","England","430","£/t","monthly",NA,"2.9%",NA,"4.4%",NA,"March 2026"
"arable","premium_malting_barley","United Kingdom","167","£/t","weekly",NA,"4.1%",NA,"-2.6%",NA,"2025-12-14"
"beef","monthly_cows_deadweight_gb","Great Britain","522","p/kg","monthly",NA,"2.2%",NA,"5.3%","43%","March 2026"
"beef","monthly_prime_cattle_deadweight_gb","Great Britain","634","p/kg","monthly",NA,"-0.27%",NA,"-5.0%","29%","March 2026"
"beef","weekly_average_beef_veal_production","United Kingdom","18","Tonnes (th)","monthly (weekly average)",NA,"7.0%",NA,"-0.14%","-1.7%","Feb 2026"
"beef","weekly_average_prime_cattle_slaughter","United Kingdom","40","Head (th)","monthly (weekly average)",NA,"9.7%",NA,"-1.8%","-2.3%","Feb 2026"
"beef","weekly_cows_deadweight_gb","Great Britain","519","p/kg","weekly","0.46%",NA,NA,NA,NA,"2026-03-14"
"beef","weekly_prime_cattle_deadweight_gb","Great Britain","634","p/kg","weekly","-0.16%",NA,NA,NA,NA,"2026-03-14"
"dairy","ampe","United Kingdom","37","p/l","monthly",NA,"14%",NA,"-17%",NA,"March 2026"
"dairy","bulk_cream","United Kingdom","1556","£/t","monthly",NA,"24%",NA,"-41%","-23%","March 2026"
"dairy","mcve","United Kingdom","35","p/l","monthly",NA,"6.7%",NA,"-24%",NA,"March 2026"
"dairy","uk_daily_milk_deliveries_7_day_rolling_average","United Kingdom","45","Litres (m)","daily",NA,NA,NA,"2.6%",NA,"2026-03-21"
"dairy","uk_fg_milk_price","United Kingdom","36","p/l","monthly",NA,"-3.8%",NA,"-21%","-8.9%","February 2026"
"dairy","weekly_average_uk_volume","United Kingdom","305","Litres (m)","monthly",NA,"1.5%",NA,"4.0%","6.0%","February 2026"
"eggs","barn_prod","United Kingdom","22","m doz","quarterly",NA,NA,"-0.56%","28%",NA,"Q4 2025"
"eggs","enriched_price","United Kingdom","99","p/dozen","quarterly",NA,NA,"-4.2%","0.79%",NA,"Q4 2025"
"eggs","enriched_prod","United Kingdom","44","m doz","quarterly",NA,NA,"-6.5%","-16%",NA,"Q4 2025"
"eggs","free_range_price","United Kingdom","159","p/dozen","quarterly",NA,NA,"0.11%","-0.67%",NA,"Q4 2025"
"eggs","free_range_prod","United Kingdom","197","m doz","quarterly",NA,NA,"4.2%","12%",NA,"Q4 2025"
"eggs","organic_prod","United Kingdom","9.7","m doz","quarterly",NA,NA,"-4.5%","5.1%",NA,"Q4 2025"
"eggs","total_price","United Kingdom","149","p/dozen","quarterly",NA,NA,"0.26%","1.2%",NA,"Q4 2025"
"eggs","total_prod","United Kingdom","273","m doz","quarterly",NA,NA,"1.6%","7.0%",NA,"Q4 2025"
"eggs","weekly_average_commercial_layers_chicks_placed","United Kingdom","0.74","Chicks (m)","monthly",NA,"-4.6%",NA,"3.3%","3.5%","February 2026"
"eggs","weekly_average_commercial_layers_eggs_set","United Kingdom","2.5","Eggs (m)","monthly",NA,"10%",NA,"14%","23%","February 2026"
"hort_winter","apple","England","1.3","£/kg","monthly",NA,"6.9%",NA,"-1.8%",NA,"March 2026"
"hort_winter","brussels_sprouts","England","1.0","£/kg","monthly",NA,"-2.9%",NA,"-9.5%",NA,"March 2026"
"hort_winter","cabbage_white","England","0.52","£/kg","monthly",NA,"-1.5%",NA,"-6.8%",NA,"March 2026"
"hort_winter","carrot","England","0.65","£/kg","monthly",NA,"16%",NA,"44%",NA,"March 2026"
"hort_winter","cauliflower","England","1.1","£/head","monthly",NA,"22%",NA,"18%",NA,"March 2026"
"hort_winter","onion","England","0.64","£/kg","monthly",NA,"6.9%",NA,"8.6%",NA,"January 2026"
"hort_winter","swede","England","0.25","£/kg","monthly",NA,"1.5%",NA,"-9.9%",NA,"March 2026"
"pigs","monthly_spp_deadweight_gb","Great Britain","184","p/kg","monthly",NA,"-2.1%",NA,"-10%","0.48%","March 2026"
