sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
arable,bread_milling_wheat,United Kingdom,182,£/t,weekly,-1.50%,2.00%,NA,-17%,NA,23/11/2025
arable,feed_barley,United Kingdom,152,£/t,weekly,3.80%,4.70%,NA,-1.50%,NA,23/11/2025
arable,feed_wheat,United Kingdom,172,£/t,weekly,-1.00%,2.40%,NA,-7.00%,NA,23/11/2025
arable,ni_potato_processing,Northern Ireland,243,£/t,monthly,NA,8.40%,NA,2.70%,NA,Oct-25
arable,ni_potato_washing,Northern Ireland,318,£/t,monthly,NA,-2.90%,NA,1.20%,NA,Oct-25
arable,oilseed_rape,England,412,£/t,monthly,NA,3.30%,NA,-1.80%,NA,Nov-25
arable,premium_malting_barley,United Kingdom,165,£/t,weekly,3.00%,1.40%,NA,-5.60%,NA,23/11/2025
beef,monthly_cows_deadweight_gb,Great Britain,520,p/kg,monthly,NA,1.70%,NA,47%,72%,Oct-25
beef,monthly_prime_cattle_deadweight_gb,Great Britain,648,p/kg,monthly,NA,1.40%,NA,27%,47%,Oct-25
beef,weekly_average_beef_veal_production,United Kingdom,19,Tonnes (th),monthly (weekly average),NA,3.90%,NA,-6.10%,0.12%,Oct-25
beef,weekly_average_prime_cattle_slaughter,United Kingdom,40,Head (th),monthly (weekly average),NA,0.81%,NA,-8.60%,-1.20%,Oct-25
beef,weekly_cows_deadweight_gb,Great Britain,525,p/kg,weekly,-0.10%,NA,NA,NA,NA,15/11/2025
beef,weekly_prime_cattle_deadweight_gb,Great Britain,659,p/kg,weekly,0.27%,NA,NA,NA,NA,15/11/2025
dairy,ampe,United Kingdom,34,p/l,monthly,NA,-6.30%,NA,-31%,NA,Nov-25
dairy,bulk_cream,United Kingdom,1752,£/t,monthly,NA,-12%,NA,-43%,-20%,Nov-25
dairy,mcve,United Kingdom,35,p/l,monthly,NA,-4.70%,NA,-30%,NA,Nov-25
dairy,uk_daily_milk_deliveries_7_day_rolling_average,United Kingdom,43,Litres (m),daily,NA,NA,NA,7.40%,NA,15/11/2025
dairy,uk_fg_milk_price,United Kingdom,47,p/l,monthly,NA,1.10%,NA,2.40%,19%,Oct-25
dairy,weekly_average_uk_volume,United Kingdom,296,Litres (m),monthly,NA,3.80%,NA,7.00%,8.90%,Oct-25
eggs,barn_prod,United Kingdom,22,m doz,quarterly,NA,NA,8.00%,30%,NA,Q3 2025
eggs,enriched_price,United Kingdom,104,p/dozen,quarterly,NA,NA,0.97%,5.10%,NA,Q3 2025
