Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1910
Last updated 01-Jul-2026 11:33
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   50.9   72.2  130.3  122.8  190.5  177.5  148.7  128.8  120.5   74.5   67.0   29.9     ---   443.7   454.9   262.0  1313.5
1911   46.1   60.4  102.0  126.2  208.1  205.1  250.4  201.1  163.1   86.2   56.6   36.7   136.4   436.2   656.5   306.0  1542.0
1912   33.5   53.5   89.7  195.6  153.8  129.7  133.3   80.5  110.8   91.6   33.5   19.4   123.8   439.0   343.5   235.9  1124.8
1913   29.3   52.0  100.9  115.5  161.1  170.9  133.0  144.1  105.2   88.0   58.4   32.0   100.7   377.6   448.0   251.6  1190.5
1914   28.6   59.1   93.7  202.3  157.4  207.4  145.5  172.9  158.7   73.0   51.0   36.5   119.6   453.4   525.7   282.7  1386.0
1915   36.0   65.3  102.7  147.5  212.8  209.7  156.4  135.4  150.3   73.7   69.9   27.1   137.8   463.1   501.5   293.9  1386.9
1916   40.1   66.0   69.1  162.6  156.7  137.4  144.3  154.0  103.8   69.6   44.7   32.1   133.2   388.3   435.7   218.1  1180.3
1917   28.0   54.5   91.1  131.1  172.1  208.3  200.3  126.4  116.2  101.3   41.5   43.8   114.6   394.2   535.0   259.0  1314.5
1918   42.4   50.2  107.1  139.6  184.1  205.1  184.0  138.8  125.1   68.0   62.5   31.6   136.3   430.8   527.9   255.6  1338.5
1919   40.0   56.9   98.8  121.1  210.4  187.3  156.2  183.3  135.3  111.5   48.0   32.2   128.4   430.3   526.8   294.8  1380.9
1920   43.2   68.7  103.9   95.4  176.5  197.6  123.4  127.4  105.3  101.3   50.5   36.2   144.1   375.9   448.4   257.1  1229.5
1921   30.2   62.6  100.1  182.3  208.6  220.8  204.9  138.3  142.5  102.9   55.7   32.8   128.9   491.0   564.0   301.1  1481.8
1922   38.4   65.3  100.4  159.5  209.1  182.7  138.2  122.6  101.4  108.7   53.1   32.4   136.5   468.9   443.6   263.2  1311.8
1923   42.5   46.8  105.5  128.9  158.5  126.7  162.3  164.8  137.4   90.2   71.8   38.0   121.7   392.9   453.7   299.4  1273.4
1924   41.3   50.4  130.6  133.9  146.0  161.4  169.3  118.8  111.5   82.1   46.2   35.5   129.7   410.5   449.5   239.8  1227.0
1925   38.7   60.4   94.3  150.8  150.8  248.2  166.7  135.3  114.5   85.7   78.9   43.7   134.6   395.8   550.2   279.1  1368.0
1926   35.5   41.8   91.0  120.7  172.3  183.2  171.2  173.8  117.0   96.6   50.1   39.6   121.0   384.0   528.3   263.7  1292.9
1927   40.1   56.0  107.3  146.2  178.6  170.7  131.4  146.7   96.9   90.5   55.6   26.9   135.7   432.1   448.8   243.0  1246.7
1928   47.9   76.9   74.6  130.0  160.5  183.9  193.9  154.9  160.0   92.7   53.2   35.5   151.7   365.1   532.7   305.9  1364.0
1929   38.8   50.2  166.9  152.2  211.0  197.7  183.5  139.2  150.2   96.9   54.2   48.6   124.6   530.1   520.4   301.3  1489.5
1930   44.4   66.0  103.4  119.9  157.0  213.8  141.9  157.8  103.6   93.1   61.1   28.2   159.0   380.3   513.5   257.7  1290.2
1931   53.5   57.5  131.1  110.5  160.7  145.7  115.1  151.5  100.0  105.7   48.1   30.8   139.1   402.3   412.3   253.7  1210.0
1932   46.5   69.3  105.1  128.9  126.4  195.7  122.2  146.2  108.1   80.5   44.3   40.6   146.6   360.4   464.1   232.9  1213.8
1933   54.7   72.5  143.0  126.6  142.0  207.4  189.6  190.3  157.6   75.2   51.1   35.0   167.8   411.5   587.3   283.8  1444.8
1934   46.9   79.3  106.0  117.2  175.7  194.6  224.3  146.5  141.6   72.2   40.0   21.0   161.1   398.9   565.4   253.8  1365.3
1935   42.2   53.5  109.4  132.4  215.7  167.1  226.9  162.5  123.9   73.0   53.1   42.6   116.7   457.5   556.5   250.0  1402.2
1936   37.6   69.6   64.7  157.6  178.4  180.4  128.9  159.3   97.9   96.6   47.3   40.8   149.8   400.8   468.5   241.9  1259.1
1937   35.7   62.8  102.4   90.7  183.6  162.2  118.2  166.5  129.7   76.3   54.1   32.4   139.3   376.7   446.9   260.1  1214.7
1938   37.3   59.6  115.0  162.7  158.9  170.4  130.7  156.4  106.7   92.5   53.7   42.1   129.4   436.6   457.5   252.9  1286.0
1939   40.6   67.7   92.5  156.9  183.3  213.7  122.6  150.7  123.6   99.5   38.6   32.8   150.4   432.7   487.0   261.7  1322.6
1940   53.7   36.4  103.7  112.4  199.2  264.4  151.2  159.7  141.3   71.7   52.9   34.4   122.9   415.4   575.4   266.0  1381.2
1941   37.8   60.9  104.0  105.8  153.2  191.9  175.8  144.4   97.6   92.6   41.3   33.0   133.1   363.0   512.1   231.5  1238.3
1942   33.4   53.1   75.8  205.3  201.0  191.4  160.4  110.4  124.2   76.4   52.6   30.3   119.6   482.1   462.2   253.2  1314.4
1943   39.2   72.6  118.9  143.1  213.1  182.3  195.9  128.2  120.3   84.9   56.3   37.2   142.1   475.2   506.5   261.6  1392.3
1944   32.2   61.6  113.3  130.0  175.7  146.8  107.2  172.3  122.1   83.1   45.0   40.4   131.1   419.0   426.4   250.2  1229.8
1945   46.4   61.6  109.4  173.4  164.2  170.9  154.6  156.8   90.5   92.4   41.8   33.8   148.4   447.0   482.3   224.7  1295.8
1946   45.7   70.8   99.8  168.0  208.3  156.6  162.0  135.7   95.8   76.5   38.8   49.8   150.2   476.0   454.3   211.2  1307.8
1947   45.4   43.0   78.7  133.6  165.5  156.1  154.2  259.5  123.7   93.8   69.1   27.5   138.3   377.9   569.8   286.6  1350.2
1948   34.9   64.3  143.8  173.8  237.8  148.0  165.2  109.9  114.8   87.6   59.9   46.8   126.6   555.4   423.1   262.4  1386.9
